[30 Oct 2021, 1:55:10 pm] [Ferox GameThread] Player Patrick dropped item 1x Sanfew serum(4) (id 10925) at X: 1210, Y: 3552
[16 Dec. 2021, 2:45:52 p.m.] [Ferox GameThread] Player Zoo dropped item 1x null (id 30019) at X: 3091, Y: 3503
[16 Dec. 2021, 2:51:15 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Elvarg Jr (id 30019) at X: 3090, Y: 3503
[16 Dec. 2021, 2:51:20 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Elvarg Jr (id 30019) at X: 3090, Y: 3502
[16 Dec. 2021, 2:54:03 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Elvarg Jr (id 30019) at X: 3094, Y: 3502
[28 Dec. 2021, 8:46:58 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Rune pickaxe (id 1275) at X: 3285, Y: 3364
[28 Dec. 2021, 9:12:34 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Copper ore (id 436) at X: 3087, Y: 3506
[29 Dec. 2021, 5:19:00 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Raw shrimps (id 317) at X: 3094, Y: 3503
[29 Dec. 2021, 5:19:15 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3094, Y: 3503
[29 Dec. 2021, 5:19:21 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
[29 Dec. 2021, 5:20:01 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
[29 Dec. 2021, 5:20:26 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
[29 Dec. 2021, 5:20:48 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
[29 Dec. 2021, 5:21:12 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
[29 Dec. 2021, 5:21:17 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
[29 Dec. 2021, 5:21:51 p.m.] [Ferox GameThread] Player Zoo dropped item 1x Key of Drops (id 2944) at X: 3093, Y: 3503
